"Frame","TickMs","FlowUpperBoundMs","GCCollectionsBetweenScopeRecords"
"1","53.8263","10.384","0"
"2","0.4687","0.0913","0"
"3","0.2219","0.0275","0"
"4","0.238","0.0212","0"
"5","0.3845","0.0433","0"
"6","0.439","0.0722","0"
"7","0.4705","0.0744","0"
"8","0.6354","0.0814","0"
"9","0.467","0.0769","0"
"10","0.4428","0.0755","0"
"11","0.4644","0.0808","0"
"12","0.5079","0.0753","0"
"13","0.4268","0.0764","0"
"14","0.4721","0.0747","0"
"15","0.4729","0.0737","0"
"16","0.4233","0.0737","0"
"17","0.4174","0.0714","0"
"18","0.7103","0.0932","0"
"19","0.5501","0.0748","0"
"20","0.4532","0.078","0"
"21","0.4606","0.0773","0"
"22","0.4824","0.0839","0"
"23","0.4904","0.0867","0"
"24","0.4621","0.0834","0"
"25","0.5189","0.0763","0"
"26","0.4197","0.0746","0"
"27","0.4359","0.0771","0"
"28","0.4423","0.0775","0"
"29","0.4383","0.0745","0"
"30","0.4265","0.0745","0"
"31","1.5078","0.0802","0"
"32","9.639","0.1247","0"
"33","3.8105","0.1059","0"
"34","1.3827","0.0961","0"
"35","2.2413","0.132","0"
"36","1.7551","0.1076","0"
"37","3.7343","0.1116","0"
"38","4.6443","0.1147","0"
"39","1.6152","0.1064","0"
"40","1.6058","0.1109","0"
"41","1.4521","0.1017","0"
"42","1.4748","0.1105","0"
"43","1.6931","0.113","0"
"44","2.8295","0.111","0"
"45","1.9596","0.1115","0"
"46","1.5868","0.1219","0"
"47","1.7016","0.1147","0"
"48","1.5885","0.1109","0"
"49","1.5251","0.1199","0"
"50","1.587","0.1248","0"
"51","2.445","0.1081","0"
"52","2.0708","0.1247","0"
"53","1.5124","0.1126","0"
"54","1.5927","0.1139","0"
"55","1.9943","0.1574","0"
"56","1.5344","0.1081","0"
"57","1.5193","0.1088","0"
"58","2.3443","0.1148","0"
"59","2.6772","0.1275","0"
"60","1.4763","0.1127","0"
"61","1.5553","0.119","0"
"62","1.6252","0.1138","0"
"63","1.6292","0.1122","0"
"64","1.5837","0.1184","0"
"65","2.3363","0.1145","0"
"66","1.9855","0.1181","0"
"67","1.7075","0.1141","0"
"68","1.627","0.1187","0"
"69","1.6507","0.1084","0"
"70","1.5351","0.1126","0"
"71","1.6851","0.1149","0"
"72","2.4523","0.1122","0"
"73","2.0464","0.1244","0"
"74","3.9129","0.0805","0"
"75","1.7025","0.1202","0"
"76","1.5602","0.1146","0"
"77","1.4652","0.1065","0"
"78","1.6641","0.1089","0"
"79","9.89","0.1107","0"
"80","8.0364","5.8319","0"
"81","3.0561","1.0634","0"
"82","3.3692","1.8683","0"
"83","2.5936","0.7407","0"
"84","2.5238","1.0448","0"
"85","1.7085","0.276","0"
"86","5.2506","0.3277","0"
"87","2.3338","0.3433","0"
"88","1.9161","0.454","0"
"89","1.7929","0.3367","0"
"90","3.264","1.7263","0"
"91","1.9322","0.3109","0"
"92","2.3079","0.7929","0"
"93","4.7121","0.2845","0"
"94","2.34","0.3572","0"
"95","1.8554","0.2685","0"
"96","5.0803","3.5917","0"
"97","1.7786","0.2964","0"
"98","2.0427","0.5556","0"
"99","1.9668","0.2945","0"
"100","5.2585","0.3318","0"
"101","2.0868","0.2809","0"
"102","1.8207","0.3428","0"
"103","1.9461","0.2964","0"
"104","2.5732","1.0315","0"
"105","2.1719","0.3617","0"
"106","1.7985","0.3773","0"
"107","5.0638","0.2824","0"
"108","2.2215","0.3942","0"
"109","1.7209","0.2714","0"
"110","1.8382","0.3532","0"
"111","1.8788","0.2829","0"
"112","7.4782","0.398","0"
"113","2.4786","0.738","0"
"114","2.4143","0.1994","0"
"115","2.1823","0.273","0"
"116","1.8113","0.1882","0"
"117","1.6557","0.2133","0"
"118","1.6151","0.1697","0"
"119","5.4843","0.2144","0"
"120","1.5955","0.1787","0"
"121","2.5543","0.2844","0"
"122","1.9608","0.1962","0"
"123","1.9153","0.2936","0"
"124","1.7685","0.25","0"
"125","1.7196","0.2446","0"
"126","5.6662","0.1877","0"
"127","2.0068","0.229","0"
"128","2.3765","0.1857","0"
"129","6.4961","4.4971","0"
"130","2.3991","0.8464","0"
"131","2.2215","0.5509","0"
"132","2.0484","0.3824","0"
"133","5.8203","0.3997","0"
"134","2.0227","0.3546","0"
"135","2.8209","0.4235","0"
"136","2.4717","0.3656","0"
"137","1.9018","0.3675","0"
"138","2.1852","0.6489","0"
"139","4.4068","2.5217","0"
"140","6.619","0.8154","0"
"141","2.3784","0.7977","0"
